Equipment ID,Asset Number,Description,Location,Building,Floor,System,Subsystem,Manufacturer,Model,Serial Number,Voltage,Capacity,Weight,Dimensions,Delivery Status,Installation Status,Commissioning Status,Maintenance Status,Warranty,Criticality,Vendor,Purchase Order,Linked Schedule Activity
UPS-A1-01,AST-UPS-A1-01,UPS System Module UPS-PA-01,"Data Centre Building 01, Level 1",Data Centre Building 01,Level 1,Electrical,UPS System,Vertiv,MOD-UPS-X,SER-UPS-A1-01-2025,415V AC,1600 kW,1241 kg,2200x800x1200 mm,AT VENDOR PUNE - FAT FAIL - DISPATCH HOLD,Awaiting Delivery,Not commissioned - awaiting battery remediation,Warranty Period,24 Months,CRITICAL,PowerGrid Systems Pvt Ltd,PHX-DC-01-PO-EL-002,A200
UPS-A1-02,AST-UPS-A1-02,UPS System Module UPS-PA-02,"Data Centre Building 01, Level 1",Data Centre Building 01,Level 1,Electrical,UPS System,Vertiv,MOD-UPS-X,SER-UPS-A1-02-2025,415V AC,1600 kW,1884 kg,2200x800x1200 mm,AT VENDOR PUNE - FAT FAIL - DISPATCH HOLD,Awaiting Delivery,Not commissioned,Warranty Period,24 Months,CRITICAL,PowerGrid Systems Pvt Ltd,PHX-DC-01-PO-EL-002,A200
UPS-A1-03,AST-UPS-A1-03,UPS System Module UPS-PA-03,"Data Centre Building 01, Level 1",Data Centre Building 01,Level 1,Electrical,UPS System,Vertiv,MOD-UPS-X,SER-UPS-A1-03-2025,415V AC,1600 kW,2944 kg,2200x800x1200 mm,AT VENDOR PUNE - FAT FAIL - DISPATCH HOLD,Awaiting Delivery,Not commissioned,Warranty Period,24 Months,CRITICAL,PowerGrid Systems Pvt Ltd,PHX-DC-01-PO-EL-002,A200
UPS-A1-04,AST-UPS-A1-04,UPS System Module UPS-PA-04,"Data Centre Building 01, Level 1",Data Centre Building 01,Level 1,Electrical,UPS System,Vertiv,MOD-UPS-X,SER-UPS-A1-04-2025,415V AC,1600 kW,2919 kg,2200x800x1200 mm,AT VENDOR PUNE - FAT FAIL - DISPATCH HOLD,Awaiting Delivery,Not commissioned,Warranty Period,24 Months,CRITICAL,PowerGrid Systems Pvt Ltd,PHX-DC-01-PO-EL-002,A200
UPS-B1-01,AST-UPS-B1-01,UPS System Module UPS-PB-01,"Data Centre Building 01, Level 1",Data Centre Building 01,Level 1,Electrical,UPS System,Vertiv,MOD-UPS-X,SER-UPS-B1-01-2025,415V AC,1600 kW,4406 kg,2200x800x1200 mm,AT VENDOR PUNE - FAT FAIL - DISPATCH HOLD,Awaiting Delivery,Not commissioned,Warranty Period,24 Months,CRITICAL,PowerGrid Systems Pvt Ltd,PHX-DC-01-PO-EL-002,A200
UPS-B1-02,AST-UPS-B1-02,UPS System Module UPS-PB-02,"Data Centre Building 01, Level 1",Data Centre Building 01,Level 1,Electrical,UPS System,Vertiv,MOD-UPS-X,SER-UPS-B1-02-2025,415V AC,1600 kW,2824 kg,2200x800x1200 mm,AT VENDOR PUNE - FAT FAIL - DISPATCH HOLD,Awaiting Delivery,Not commissioned,Warranty Period,24 Months,CRITICAL,PowerGrid Systems Pvt Ltd,PHX-DC-01-PO-EL-002,A200
UPS-B1-03,AST-UPS-B1-03,UPS System Module UPS-PB-03,"Data Centre Building 01, Level 1",Data Centre Building 01,Level 1,Electrical,UPS System,Vertiv,MOD-UPS-X,SER-UPS-B1-03-2025,415V AC,1600 kW,2892 kg,2200x800x1200 mm,AT VENDOR PUNE - FAT FAIL - DISPATCH HOLD,Awaiting Delivery,Not commissioned,Warranty Period,24 Months,CRITICAL,PowerGrid Systems Pvt Ltd,PHX-DC-01-PO-EL-002,A200
UPS-B1-04,AST-UPS-B1-04,UPS System Module UPS-PB-04,"Data Centre Building 01, Level 1",Data Centre Building 01,Level 1,Electrical,UPS System,Vertiv,MOD-UPS-X,SER-UPS-B1-04-2025,415V AC,1600 kW,2831 kg,2200x800x1200 mm,AT VENDOR PUNE - FAT FAIL - DISPATCH HOLD,Awaiting Delivery,Not commissioned,Warranty Period,24 Months,CRITICAL,PowerGrid Systems Pvt Ltd,PHX-DC-01-PO-EL-002,A200
SWG-MV-A,AST-SWG-MV-A,MV Switchgear Module SWG-A-MAIN,"Utility Block Building, Level 1",Utility Block Building,Level 1,Electrical,MV Switchgear,Schneider Electric,MOD-SWG-X,SER-SWG-MV-A-2025,11 kV AC,31.5 kA,2212 kg,2200x800x1200 mm,EN ROUTE TO SITE - ETA 15-16 Jan 2026,Awaiting Delivery,Not installed,Warranty Period,24 Months,CRITICAL,Schneider Electric India,PHX-DC-01-PO-EL-001,A130
SWG-MV-B,AST-SWG-MV-B,MV Switchgear Module SWG-B-MAIN,"Utility Block Building, Level 1",Utility Block Building,Level 1,Electrical,MV Switchgear,Schneider Electric,MOD-SWG-X,SER-SWG-MV-B-2025,11 kV AC,31.5 kA,3141 kg,2200x800x1200 mm,EN ROUTE TO SITE - ETA 15-16 Jan 2026,Awaiting Delivery,Not installed,Warranty Period,24 Months,CRITICAL,Schneider Electric India,PHX-DC-01-PO-EL-001,A130
